filename,path,size_bytes,sha256,role,status
CHATRMD_LEVEL_ROUTE_v0_2_2_EXECUTION_LEDGER.md,/data/data/com.termux/files/home/.gl_soul_layer_stage_20260430T131404Z/lifecoachlanding/docs/CHATRMD_LEVEL_ROUTE_v0_2_2_EXECUTION_LEDGER.md,770,26a6f3b143756141c222e4f7d382b85164b739dd7709442ef59cb9f417d912b5,uploaded_archive_or_governance_source,found_for_execution_register
COMMIT_MESSAGE_GOLDLEVEL_LANDING.txt,/data/data/com.termux/files/home/COMMIT_MESSAGE_GOLDLEVEL_LANDING.txt,279,c268e00bcb160f7133d617530f2831472ab5f7b84227258b5daadb53c5efef53,uploaded_archive_or_governance_source,found_for_execution_register
data_data_com.termux_files_home_goldlevel_packets_LOCAL_STATUS_PACKET_20260127T062555Z.txt,/data/data/com.termux/files/home/GL_GUARD_KERNEL_DOCTOR_DIAG_20260501T131928Z/PROMOTION_REVIEW/candidate_sources/data_data_com.termux_files_home_goldlevel_packets_LOCAL_STATUS_PACKET_20260127T062555Z.txt,51752,3c9528271296b184d2bd544adb4b84d5e8a421b85c3202b6eefbffab6dc575fa,uploaded_archive_or_governance_source,found_for_execution_register
data_data_com.termux_files_home_storage_shared_Download_03_GOLDLEVEL_SYSTEM_02_GOVERNANCE_GL__GL_FULL_RUN_DEMO__20260204T005556Z_9734.txt,/data/data/com.termux/files/home/GL_GUARD_KERNEL_DOCTOR_DIAG_20260501T131928Z/PROMOTION_REVIEW/candidate_sources/data_data_com.termux_files_home_storage_shared_Download_03_GOLDLEVEL_SYSTEM_02_GOVERNANCE_GL__GL_FULL_RUN_DEMO__20260204T005556Z_9734.txt,17583,512053016da30db373b1b270e4ef5407d710d255eb02ba11db61c87c2f17b2a7,uploaded_archive_or_governance_source,found_for_execution_register
data_data_com.termux_files_home_storage_shared_Download_03_GOLDLEVEL_SYSTEM_02_GOVERNANCE_GL__GL_THREAD_AUDIT_REPORT__20260203T161412Z_22393.txt,/data/data/com.termux/files/home/GL_GUARD_KERNEL_DOCTOR_DIAG_20260501T131928Z/PROMOTION_REVIEW/candidate_sources/data_data_com.termux_files_home_storage_shared_Download_03_GOLDLEVEL_SYSTEM_02_GOVERNANCE_GL__GL_THREAD_AUDIT_REPORT__20260203T161412Z_22393.txt,24278,126f22825e0ea189ea9bee25f3764601ceb7caaca692011429c2d36a86ee1f40,uploaded_archive_or_governance_source,found_for_execution_register
data_data_com.termux_files_home_storage_shared_Download_03_GOLDLEVEL_SYSTEM_02_GOVERNANCE_GL__GL_THREAD_AUDIT_REPORT__20260203T202046Z_30369.txt,/data/data/com.termux/files/home/GL_GUARD_KERNEL_DOCTOR_DIAG_20260501T131928Z/PROMOTION_REVIEW/candidate_sources/data_data_com.termux_files_home_storage_shared_Download_03_GOLDLEVEL_SYSTEM_02_GOVERNANCE_GL__GL_THREAD_AUDIT_REPORT__20260203T202046Z_30369.txt,13890,8dd23b0b44ce0096858fd830f614b4a9460719a0feb94418fcab7ad37af11b30,uploaded_archive_or_governance_source,found_for_execution_register
data_data_com.termux_files_home_storage_shared_Download_03_GOLDLEVEL_SYSTEM_02_GOVERNANCE_GL__GL_THREAD_AUDIT_REPORT__WITH_STATUS_PACKET__20260204T012804Z_13706.txt,/data/data/com.termux/files/home/GL_GUARD_KERNEL_DOCTOR_DIAG_20260501T131928Z/PROMOTION_REVIEW/candidate_sources/data_data_com.termux_files_home_storage_shared_Download_03_GOLDLEVEL_SYSTEM_02_GOVERNANCE_GL__GL_THREAD_AUDIT_REPORT__WITH_STATUS_PACKET__20260204T012804Z_13706.txt,13476,cfa51dc040915fe4dd2807f6de04d3e0a94c0a01f137eb32ad9849bfbb6bebab,uploaded_archive_or_governance_source,found_for_execution_register
README.md,/data/data/com.termux/files/home/GL_HYBRID_OUTPUT_LOCATE_20260501T104454Z/extract_probe/tar_probe/goldlevel_unified_domain_site/goldlevel/README.md,8369,ea5ed3506b18fd3324c5efc986ed2325954554aa32f2c8b3c93d333d4272835e,uploaded_archive_or_governance_source,found_for_execution_register
SHA256.txt,/data/data/com.termux/files/home/GL_HYBRID_OUTPUT_LOCATE_20260501T104454Z/extract_probe/tar_probe/goldlevel_unified_domain_site/goldlevel/SHA256.txt,2099,36062156303d28ccbaf3d57469c137277872af4af5bb4d77f129b030cd67e576,uploaded_archive_or_governance_source,found_for_execution_register
release-manifest.json,/data/data/com.termux/files/home/GL_HYBRID_OUTPUT_LOCATE_20260501T104454Z/extract_probe/tar_probe/goldlevel_unified_domain_site/goldlevel/release-manifest.json,834,644f9e325c84da4fec1560a864c66651273697b67ae4f0eeaae7330b3d0dd0e2,uploaded_archive_or_governance_source,found_for_execution_register
